group_id,record_type,reinsurer,participation,tipo,reasegurado,asegurado,direccion,periodo_inicio,periodo_fin,actividad,estimado_ingresos,interes_asegurable,limite_max_res,riesgos_cubiertos,condiciones_reaseguro,exclusiones,deducibles,prima_neta,soporte,base_cobertura,territorialidad,jurisdiccion,terminos_pago,anexos_clausulas,panel_participantes
1,Nota,,,Reaseguro Facultativo de Salud,"Seguros Central, S.A., Grupo Financiero Unión",Constructora Alpha,"Prolongación Las Fuentes 636, Col. Centro, Ciudad de México, México",2024-11-22,2026-10-16,Fabricación de automóviles,8346592,Robo y vandalismo,2500000,"Vandalismo, Robo, Daños eléctricos, Agua, Terremoto","Cancelación por mutuo acuerdo, Gastos de defensa incluidos, Texto LMA 6000A","Negligencia grave, Guerra y terrorismo, Actos delictivos, Contaminación, Daños intencionales, Inestabilidad política","General: USD 5,000; Robo: USD 93,000; Terremoto: USD 71,000; Daños eléctricos: USD 98,000; Pérdida de ingresos: USD 2,000",8500284,100% parte del 100%,Ocurrencia,Latinoamérica,Leyes de Estados Unidos,90 días,"LMA 3100A (Limitación de Sanciones), NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), LMA 3092 (All Risks), NMA 2962 (Exclusión de Daños por Agua)",Epsilon 89% parte del 100%; Reasegurador 17 11% parte del 100%
1,Cotizacion,Epsilon,89,Reaseguro Facultativo de Salud,"Seguros Central, S.A., Grupo Financiero Unión",Constructora Alpha,"Prolongación Las Fuentes 636, Col. Centro, Ciudad de México, México",2024-11-22,2026-10-16,Fabricación de automóviles,8346592,Robo y vandalismo,2500000,"Vandalismo, Robo, Daños eléctricos, Agua, Terremoto","Cancelación por mutuo acuerdo, Gastos de defensa incluidos, Texto LMA 6000A","Negligencia grave, Guerra y terrorismo, Actos delictivos, Contaminación, Daños intencionales, Inestabilidad política","General: USD 5,000; Robo: USD 93,000; Terremoto: USD 71,000; Daños eléctricos: USD 98,000; Pérdida de ingresos: USD 2,000",7565252,89% parte del 100%,Ocurrencia,Latinoamérica,Leyes de Estados Unidos,90 días,"LMA 3100A (Limitación de Sanciones), NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), LMA 3092 (All Risks), NMA 2962 (Exclusión de Daños por Agua)",
1,Cotizacion,Reasegurador 17,11,Reaseguro Facultativo de Salud,"Seguros Central, S.A., Grupo Financiero Unión",Constructora Alpha,"Prolongación Las Fuentes 636, Col. Centro, Ciudad de México, México",2024-11-22,2026-10-16,Fabricación de automóviles,8346592,Robo y vandalismo,2500000,"Vandalismo, Robo, Daños eléctricos, Agua, Terremoto","Cancelación por mutuo acuerdo, Gastos de defensa incluidos, Texto LMA 6000A","Negligencia grave, Guerra y terrorismo, Actos delictivos, Contaminación, Daños intencionales, Inestabilidad política","General: USD 5,000; Robo: USD 93,000; Terremoto: USD 71,000; Daños eléctricos: USD 98,000; Pérdida de ingresos: USD 2,000",935031,11% parte del 100%,Ocurrencia,Latinoamérica,Leyes de Estados Unidos,90 días,"LMA 3100A (Limitación de Sanciones), NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), LMA 3092 (All Risks), NMA 2962 (Exclusión de Daños por Agua)",
2,Nota,,,Reaseguro Facultativo Todo Riesgo,"Aseguradora Nacional, Mutua Mexicana","Servicios Integrales del Valle, S.A. de C.V.","Camino Real 117, Col. Polanco, Monterrey, México",2025-06-25,2027-03-02,Fabricación de automóviles,16168702,Terremoto y huracanes,2500000,"Agua, Incendio, Robo, Responsabilidad civil, Terremoto, Daños eléctricos, Pérdida de ingresos","Sujeto a LMA 2001, Arbitraje internacional, Cancelación por mutuo acuerdo, Texto LMA 6000A, Gastos de defensa incluidos","Guerra y terrorismo, Actos delictivos, Negligencia grave, Daños intencionales, Contaminación","General: USD 37,000; Robo: USD 18,000; Terremoto: USD 78,000; Daños eléctricos: USD 65,000; Pérdida de ingresos: USD 97,000",5120118,100% parte del 100%,Suma Directa,Estados Unidos,Leyes Latam,30 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), LMA 3092 (All Risks)",Reasegurador 20 7% parte del 100%; Reasegurador 9 44% parte del 100%; Gamma 49% parte del 100%
2,Cotizacion,Reasegurador 20,7,Reaseguro Facultativo Todo Riesgo,"Aseguradora Nacional, Mutua Mexicana","Servicios Integrales del Valle, S.A. de C.V.","Camino Real 117, Col. Polanco, Monterrey, México",2025-06-25,2027-03-02,Fabricación de automóviles,16168702,Terremoto y huracanes,2500000,"Agua, Incendio, Robo, Responsabilidad civil, Terremoto, Daños eléctricos, Pérdida de ingresos","Sujeto a LMA 2001, Arbitraje internacional, Cancelación por mutuo acuerdo, Texto LMA 6000A, Gastos de defensa incluidos","Guerra y terrorismo, Actos delictivos, Negligencia grave, Daños intencionales, Contaminación","General: USD 37,000; Robo: USD 18,000; Terremoto: USD 78,000; Daños eléctricos: USD 65,000; Pérdida de ingresos: USD 97,000",358408,7% parte del 100%,Suma Directa,Estados Unidos,Leyes Latam,30 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), LMA 3092 (All Risks)",
2,Cotizacion,Reasegurador 9,44,Reaseguro Facultativo Todo Riesgo,"Aseguradora Nacional, Mutua Mexicana","Servicios Integrales del Valle, S.A. de C.V.","Camino Real 117, Col. Polanco, Monterrey, México",2025-06-25,2027-03-02,Fabricación de automóviles,16168702,Terremoto y huracanes,2500000,"Agua, Incendio, Robo, Responsabilidad civil, Terremoto, Daños eléctricos, Pérdida de ingresos","Sujeto a LMA 2001, Arbitraje internacional, Cancelación por mutuo acuerdo, Texto LMA 6000A, Gastos de defensa incluidos","Guerra y terrorismo, Actos delictivos, Negligencia grave, Daños intencionales, Contaminación","General: USD 37,000; Robo: USD 18,000; Terremoto: USD 78,000; Daños eléctricos: USD 65,000; Pérdida de ingresos: USD 97,000",2252851,44% parte del 100%,Suma Directa,Estados Unidos,Leyes Latam,30 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), LMA 3092 (All Risks)",
2,Cotizacion,Gamma,49,Reaseguro Facultativo Todo Riesgo,"Aseguradora Nacional, Mutua Mexicana","Servicios Integrales del Valle, S.A. de C.V.","Camino Real 117, Col. Polanco, Monterrey, México",2025-06-25,2027-03-02,Fabricación de automóviles,16168702,Terremoto y huracanes,2500000,"Agua, Incendio, Robo, Responsabilidad civil, Terremoto, Daños eléctricos, Pérdida de ingresos","Sujeto a LMA 2001, Arbitraje internacional, Cancelación por mutuo acuerdo, Texto LMA 6000A, Gastos de defensa incluidos","Guerra y terrorismo, Actos delictivos, Negligencia grave, Daños intencionales, Contaminación","General: USD 37,000; Robo: USD 18,000; Terremoto: USD 78,000; Daños eléctricos: USD 65,000; Pérdida de ingresos: USD 97,000",2508857,49% parte del 100%,Suma Directa,Estados Unidos,Leyes Latam,30 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), LMA 3092 (All Risks)",
3,Nota,,,Reaseguro Facultativo de Salud,"Seguros Central, S.A., Aseguradora Nacional",Energía Epsilon,"Camino Real 297, Col. Roma, Mérida, México",2027-11-09,2030-08-01,Fabricación de automóviles,3932868,Responsabilidad civil y pérdidas operacionales,1000000,"Responsabilidad civil, Incendio, Agua, Robo, Daños eléctricos, Terremoto, Vandalismo","Arbitraje internacional, Texto LMA 6000A, Sujeto a LMA 2001","Guerra y terrorismo, Actos delictivos, Negligencia grave, Daños intencionales","General: USD 64,000; Robo: USD 27,000; Terremoto: USD 96,000; Daños eléctricos: USD 41,000; Pérdida de ingresos: USD 78,000",2914603,100% parte del 100%,Ocurrencia,Canadá,Leyes de Estados Unidos,60 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones)",Gamma 100% parte del 100%
3,Cotizacion,Gamma,100,Reaseguro Facultativo de Salud,"Seguros Central, S.A., Aseguradora Nacional",Energía Epsilon,"Camino Real 297, Col. Roma, Mérida, México",2027-11-09,2030-08-01,Fabricación de automóviles,3932868,Responsabilidad civil y pérdidas operacionales,1000000,"Responsabilidad civil, Incendio, Agua, Robo, Daños eléctricos, Terremoto, Vandalismo","Arbitraje internacional, Texto LMA 6000A, Sujeto a LMA 2001","Guerra y terrorismo, Actos delictivos, Negligencia grave, Daños intencionales","General: USD 64,000; Robo: USD 27,000; Terremoto: USD 96,000; Daños eléctricos: USD 41,000; Pérdida de ingresos: USD 78,000",2914603,100% parte del 100%,Ocurrencia,Canadá,Leyes de Estados Unidos,60 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones)",
4,Nota,,,Reaseguro Facultativo de Vida,"Aseguradora Nacional, Compañía de Seguros del Valle",Energía Epsilon,"Boulevard Hidalgo 354, Col. Santa Fe, Guadalajara, México",2024-08-05,2026-05-15,Servicios financieros,2397813,Robo y vandalismo,7500000,"Responsabilidad civil, Incendio, Terremoto, Vandalismo","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional","Actos delictivos, Guerra y terrorismo, Contaminación, Negligencia grave, Daños intencionales","General: USD 75,000; Robo: USD 4,000; Terremoto: USD 7,000; Daños eléctricos: USD 4,000; Pérdida de ingresos: USD 45,000",5234300,100% parte del 100%,Suma Directa,Latinoamérica,Leyes Latam,90 días,"LMA 3100A (Limitación de Sanciones), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua)",Reasegurador 20 46% parte del 100%; Navys 54% parte del 100%
